Name,Department,Area,Occupancy,Comments
ESCADA EMERGÊNCIA,EDIFICIO GERAL,28.18 m²,,
ÁREA TÉCNICA,EDIFICIO TÉCNICO,18.53 m²,,
LAVABO 1,BANHEIRO,1.97 m²,,
LAVABO 2,BANHEIRO,1.96 m²,,
PCD 1,BANHEIRO,3.28 m²,,
REUNIÃO 4P,REUNIÃO,7.54 m²,,
LINK STAFF - 48P,ADM,147.31 m²,,
NAPP,APOIO,10.62 m²,,
RECEPÇÃO,ESTAR,177.36 m²,,
DML,APOIO,1.92 m²,,
REUNIÃO 6P,REUNIÃO,14.91 m²,,
REUNIÃO 6P,REUNIÃO,10.47 m²,,
DEPÓSITO 1,APOIO,5.70 m²,,
LAVABO 1,BANHEIRO,1.87 m²,,
LAVABO 2,BANHEIRO,1.79 m²,,
VEST. 1,BANHEIRO,3.81 m²,,
VEST. 3,BANHEIRO,3.96 m²,,
VEST. 2,BANHEIRO,4.00 m²,,
DML,APOIO,1.25 m²,,
PCD,BANHEIRO,3.75 m²,,
ELÉTRICA,EDIFICIO TÉCNICO,3.79 m²,,
ACADEMIA,USO GERAL,167.27 m²,,
SALA ACADEMIA,USO GERAL,33.88 m²,,
AV ROOM,APOIO,4.49 m²,,
SALA FLEX 64P,SALA DE AULA,147.11 m²,,
CPD,TÉCNICO,5.01 m²,,
SECRETARIA 8P,ADM,28.49 m²,,
CORREDOR,CIRCULAÇÃO,13.12 m²,,
DEPÓSITO,APOIO,3.33 m²,,
REUNIÃO 6P,REUNIÃO,12.30 m²,,
PB,APOIO,3.49 m²,,
PLOTTER,APOIO,4.04 m²,,
BAN. MASCULINO,BANHEIRO,24.05 m²,,
ESTUDO 6P,ESTUDO,11.16 m²,,
ESTUDO 6P,ESTUDO,11.27 m²,,
ESTUDO 4P,ESTUDO,9.02 m²,,
LAVABO NOVO,BANHEIRO,3.67 m²,,
LAVABO NOVO,BANHEIRO,3.92 m²,,
ÁREA EXTERNA,ESTAR,276.65 m²,,
MARMITAS,APOIO,34.06 m²,,
DML,APOIO,1.94 m²,,
LAVABO,BANHEIRO,1.99 m²,,
PCD,BANHEIRO,3.28 m²,,
LAVABO NOVO,BANHEIRO,3.88 m²,,
CAFÉ,TERCEIRO,22.01 m²,,
ACESSO ELEVADORES,CIRCULAÇÃO,66.36 m²,,
PCD MASC.,BANHEIRO,3.80 m²,,
PCD FEM.,BANHEIRO,3.80 m²,,
ESCADA DE EMERGÊNCIA,EDIFICIO GERAL,28.18 m²,,
ÁREA TÉCNICA,EDIFICIO TÉCNICO,18.53 m²,,
DEPÓSITO CAFÉ,TERCEIRO,2.11 m²,,
SALA 360 - 50P,SALA DE AULA,109.33 m²,,
LAB - 52P,SALA DE AULA LAB,120.93 m²,,
SALA 360 - 52P,SALA DE AULA,109.11 m²,,
SALA AULA - 24P,SALA DE AULA,Not Placed,,
LAB - 50P,SALA DE AULA LAB,86.68 m²,,
BANHEIRO MASCULINO,BANHEIRO,24.10 m²,,
AMBULATÓRIO,APOIO,9.11 m²,,
REUNIÃO PAIS 6P,REUNIÃO,11.06 m²,,
BANHEIRO FEMININO,BANHEIRO,24.09 m²,,
LAVABO,TERCEIRO,2.99 m²,,
GARAGEM 1SS,EDIFICIO GERAL,596.79 m²,,
SALA FLEX 50P,SALA DE AULA,Not Placed,,
SALA FLEX 64P,SALA DE AULA,Not Placed,,
SALA FLEX 50P,SALA DE AULA,Not Placed,,
LOUNGE,ESTAR,Not Placed,,
LAVABO,BANHEIRO,Not Placed,,
LAVABO,BANHEIRO,Not Placed,,
PCD,BANHEIRO,Not Placed,,
ESCADA EMERGÊNCIA,EDIFICIO GERAL,Not Placed,,
ÁREA TÉCNICA,EDIFICIO TÉCNICO,Not Placed,,
LAVABO,BANHEIRO,Not Placed,,
CPD,TÉCNICO,Not Placed,,
PCD,BANHEIRO,Not Placed,,
ÁREA TÉCNICA,EDIFICIO TÉCNICO,18.53 m²,,
ESCADA EMERGÊNCIA,EDIFICIO GERAL,28.18 m²,,
CAFÉ MESAS,ESTAR,Not Placed,,
ESTUDOS,ESTUDO,Not Placed,,
